"DIVISION_NAME","fields_n"
"ACTON",136
"AINSLIE",87
"AMAROO",55
"ARANDA",18
"BANKS",10
"BARTON",75
"BELCONNEN",304
"BONNER",54
"BONYTHON",37
"BRADDON",117
"BRUCE",65
"CALWELL",22
"CAMPBELL",105
"CANBERRA AIRPORT",3
"CAPITAL HILL",2
"CASEY",72
"CHAPMAN",26
"CHARNWOOD",49
"CHIFLEY",29
"CHISHOLM",44
"CITY",653
"CONDER",28
"COOK",41
"COOMBS",62
"CRACE",74
"CURTIN",84
"DEAKIN",50
"DENMAN PROSPECT",21
"DICKSON",118
"DOWNER",50
"DUFFY",29
"DUNLOP",44
"EVATT",34
"FADDEN",44
"FARRER",17
"FISHER",11
"FLOREY",31
"FLYNN",19
"FORDE",85
"FORREST",20
"FRANKLIN",77
"FRASER",19
"FYSHWICK",43
"GARRAN",23
"GILMORE",14
"GIRALANG",34
"GORDON",63
"GOWRIE",25
"GREENWAY",275
"GRIFFITH",144
"GUNGAHLIN",198
"HACKETT",38
"HALL",15
"HARRISON",69
"HAWKER",38
"HIGGINS",15
"HOLDER",24
"HOLT",76
"HUGHES",23
"HUME",2
"ISAACS",25
"ISABELLA PLAINS",20
"JACKA",3
"KALEEN",53
"KAMBAH",176
"KINGSTON",187
"LATHAM",32
"LAWSON",37
"LYNEHAM",103
"LYONS",29
"MACARTHUR",16
"MACGREGOR",42
"MACQUARIE",53
"MAWSON",59
"MCKELLAR",12
"MELBA",25
"MITCHELL",10
"MOLONGLO",4
"MONASH",41
"MONCRIEFF",74
"NARRABUNDAH",41
"NGUNNAWAL",49
"NICHOLLS",47
"O'CONNOR",87
"O'MALLEY",11
"OAKS ESTATE",18
"OXLEY",10
"PAGE",31
"PALMERSTON",29
"PARKES",14
"PEARCE",15
"PHILLIP",259
"PIALLIGO",3
"RED HILL",46
"REID",34
"RICHARDSON",12
"RIVETT",32
"RUSSELL",7
"SCULLIN",27
"SPENCE",16
"STIRLING",10
"SYMONSTON",5
"TAYLOR",49
"THARWA",6
"THEODORE",17
"THROSBY",25
"TORRENS",15
"TURNER",138
"WANNIASSA",80
"WARAMANGA",28
"WATSON",50
"WEETANGERA",18
"WESTON",99
"WHITLAM",16
"WRIGHT",83
"YARRALUMLA",244
"BEARD",0
"MACNAMARA",0
"STRATHNAIRN",0
"URIARRA VILLAGE",0
