"Measure","Value"
"Belonging scale",70.407274
"Canberra is a good place to live",86.0658227451613
"Ease of access to places",75.8408648903226
"Level of participation in events and activities",27.6631592580645
"Local area liveability",88.473767316129
"Loneliness scale",21.0776293612903
"Personal Wellbeing Index",29.8133988064516
"Quality of time scale",17.1791412983871
"Satisfaction with time spent commuting to work or study",61.768178516129
"Social connection scale - traditional",11.1171110633333
