"DIVISION_NAME","pedestrian_Right_angle_collision","pedestrian_Struck_pedestrian_Off_Road","pedestrian_Struck_pedestrian_On_Road","pedestrian_Right_turn_into_oncoming_vehicle","pedestrian_Opposite_direction_side_swipe","pedestrian_Other_-_Vehicle_to_Vehicle","pedestrian_Collision_with_parked_vehicle","pedestrian_sum"
"ACTON",1,1,4,0,0,0,0,6
"AINSLIE",0,0,3,0,0,0,0,3
"AMAROO",0,0,3,0,0,0,0,3
"BARTON",0,1,3,0,0,0,0,4
"BELCONNEN",0,0,6,0,0,0,0,6
"BONNER",0,1,0,0,0,0,0,1
"BRADDON",0,1,7,0,0,0,0,8
"BRUCE",0,0,8,1,0,0,0,9
"CALWELL",0,0,1,0,1,0,0,2
"CAMPBELL",0,1,1,0,0,0,0,2
"CANBERRA AIRPORT",0,0,1,0,0,0,0,1
"CASEY",0,0,1,0,0,0,0,1
"CHAPMAN",0,0,1,0,0,0,0,1
"CHARNWOOD",0,0,4,0,0,0,0,4
"CHIFLEY",0,0,2,0,0,0,0,2
"CHISHOLM",0,1,3,0,0,1,0,5
"CITY",0,3,53,0,0,0,1,57
"CONDER",0,1,2,0,0,0,0,3
"COOK",0,0,1,0,0,0,0,1
"CURTIN",0,0,5,0,0,0,0,5
"DEAKIN",0,0,2,0,0,0,0,2
"DICKSON",0,0,2,0,0,0,0,2
"DOWNER",0,0,2,0,0,0,0,2
"DUNLOP",0,0,2,0,0,0,0,2
"EVATT",0,1,0,0,0,0,0,1
"FARRER",0,0,1,0,0,0,0,1
"FLOREY",0,1,4,0,0,0,0,5
"FLYNN",0,1,0,0,0,0,0,1
"FORDE",0,0,1,0,0,0,0,1
"FORREST",1,1,1,0,0,0,0,3
"FRANKLIN",0,0,1,0,0,0,0,1
"FYSHWICK",0,2,5,0,0,0,0,7
"GARRAN",0,0,4,0,0,0,0,4
"GILMORE",0,0,1,0,0,0,0,1
"GIRALANG",0,0,1,0,0,0,0,1
"GORDON",0,0,2,0,0,0,0,2
"GREENWAY",0,0,6,0,0,0,0,6
"GRIFFITH",0,0,8,0,0,0,0,8
"GUNGAHLIN",0,0,10,0,0,0,0,10
"HARRISON",0,0,3,0,0,0,0,3
"HOLDER",0,0,1,0,0,0,0,1
"HOLT",0,0,4,0,0,0,0,4
"HUME",0,0,1,0,0,0,0,1
"ISABELLA PLAINS",0,0,3,0,0,0,0,3
"KALEEN",0,1,2,0,0,0,0,3
"KAMBAH",0,0,7,0,0,1,0,8
"KINGSTON",0,0,5,0,0,0,0,5
"LATHAM",0,0,1,0,0,0,0,1
"LYNEHAM",0,1,13,0,0,0,0,14
"LYONS",0,0,1,0,0,0,0,1
"MACARTHUR",0,0,1,0,0,0,0,1
"MACQUARIE",0,1,2,0,0,0,0,3
"MAWSON",0,1,7,0,0,0,0,8
"MELBA",0,0,1,0,0,0,0,1
"MONASH",0,0,2,0,0,0,0,2
"NARRABUNDAH",0,0,1,0,0,0,0,1
"NGUNNAWAL",0,1,4,0,0,0,0,5
"NICHOLLS",0,0,1,0,0,0,0,1
"O'CONNOR",0,0,3,0,0,0,0,3
"OXLEY",0,1,1,0,0,0,0,2
"PAGE",0,2,1,0,0,0,0,3
"PALMERSTON",0,1,3,0,0,0,0,4
"PARKES",0,0,1,0,0,0,0,1
"PEARCE",0,0,2,0,0,0,0,2
"PHILLIP",0,2,13,0,0,0,0,15
"PIALLIGO",0,0,1,0,0,0,0,1
"RED HILL",0,2,3,0,0,0,0,5
"REID",0,2,4,0,0,0,0,6
"RICHARDSON",0,0,1,0,0,0,0,1
"SCULLIN",0,0,1,0,0,0,0,1
"SPENCE",0,1,0,0,0,0,0,1
"STIRLING",0,0,1,0,0,0,0,1
"SYMONSTON",0,0,1,0,0,0,0,1
"TURNER",0,0,8,0,0,0,0,8
"WANNIASSA",0,1,1,0,0,0,0,2
"WATSON",0,0,2,0,0,0,0,2
"WESTON",0,0,4,0,0,0,0,4
"WRIGHT",0,0,1,0,0,0,0,1
