"DIVISION_NAME","table_CONCRETE","table_METAL","table_PLASTIC","table_TIMBER","table_FIBREGLASS","table_UNIDENTIFIED","table_sum"
"ACTON",13,1,12,17,0,0,43
"AINSLIE",0,0,2,0,1,0,3
"AMAROO",0,1,0,1,0,0,2
"ARANDA",0,0,1,0,0,0,1
"BARTON",0,0,5,6,0,0,11
"BELCONNEN",17,13,12,11,0,0,53
"BELCONNEN (RURAL DIST.)",0,4,0,0,0,0,4
"BONNER",0,5,1,0,0,0,6
"BONYTHON",0,3,0,0,0,0,3
"BOOTH (RURAL DIST.)",0,0,0,5,0,0,5
"BRADDON",0,0,0,5,0,0,5
"CAMPBELL",0,8,1,9,0,0,18
"CANBERRA CENTRAL (RURAL DIST.)",0,5,0,0,0,0,5
"CASEY",0,7,0,0,0,0,7
"CHAPMAN",0,1,0,0,0,0,1
"CHIFLEY",0,2,0,2,0,0,4
"CITY",0,18,2,19,0,0,39
"COOK",0,2,0,0,0,0,2
"COOMBS",1,8,0,0,0,0,9
"COREE (RURAL DIST.)",0,0,0,60,0,0,60
"COTTER RIVER (RURAL DIST.)",0,0,0,12,0,0,12
"CRACE",0,3,0,0,0,0,3
"CURTIN",0,2,2,0,0,0,4
"DEAKIN",0,0,1,9,0,0,10
"DOWNER",0,0,0,3,0,0,3
"DUFFY",0,1,0,0,0,0,1
"DUNLOP",0,2,0,5,0,0,7
"EVATT",0,0,0,1,0,0,1
"FADDEN",9,0,2,0,0,0,11
"FISHER",0,0,0,1,0,0,1
"FLOREY",0,1,0,0,0,0,1
"FLYNN",0,0,0,3,0,0,3
"FORDE",0,1,9,1,0,0,11
"FRANKLIN",0,11,0,0,0,0,11
"FYSHWICK",0,0,0,4,0,0,4
"GOOGONG (RURAL DIST.)",0,1,0,27,0,0,28
"GORDON",0,2,0,5,0,0,7
"GREENWAY",0,14,2,28,0,0,44
"GRIFFITH",0,4,1,2,0,0,7
"GUNGAHLIN",0,19,2,4,0,0,25
"GUNGAHLIN (RURAL DIST.)",0,0,0,4,0,0,4
"HACKETT",0,0,2,0,0,0,2
"HALL",1,0,0,4,0,0,5
"HARRISON",0,0,0,6,0,0,6
"HAWKER",0,0,0,4,0,0,4
"HIGGINS",0,2,0,0,0,0,2
"HOLT",0,7,0,0,0,0,7
"HUGHES",2,0,0,0,0,0,2
"HUME",0,1,0,0,0,0,1
"ISAACS",0,0,0,3,0,0,3
"ISABELLA PLAINS",0,1,0,0,0,0,1
"KAMBAH",0,2,8,14,0,0,24
"KINGSTON",0,15,0,6,0,0,21
"KOWEN (RURAL DIST.)",0,0,0,21,0,0,21
"LATHAM",0,0,0,3,0,0,3
"LYNEHAM",0,0,0,6,0,0,6
"LYONS",0,0,0,4,0,0,4
"MACARTHUR",0,0,0,2,0,0,2
"MACGREGOR",0,1,0,4,0,0,5
"MAJURA (RURAL DIST.)",0,5,0,5,0,0,10
"MELBA",0,0,2,0,0,0,2
"MITCHELL",0,0,0,1,0,0,1
"MOLONGLO VALLEY (RURAL DIST.)",0,0,0,0,0,3,3
"MONASH",0,0,0,2,0,0,2
"MONCRIEFF",0,9,0,0,0,0,9
"MOUNT CLEAR (RURAL DIST.)",0,0,0,8,0,0,8
"NARRABUNDAH",0,1,0,1,0,0,2
"NEW SOUTH WALES",0,0,0,6,0,0,6
"NICHOLLS",0,0,0,1,0,0,1
"OAKS ESTATE",0,2,0,0,0,0,2
"OXLEY",0,0,0,2,0,0,2
"PADDYS RIVER (RURAL DIST.)",0,1,0,109,0,0,110
"PALMERSTON",0,0,0,1,0,0,1
"PHILLIP",0,2,3,11,0,0,16
"RED HILL",0,0,3,0,0,0,3
"REID",0,0,0,1,0,0,1
"RENDEZVOUS CREEK (RURAL DIST.)",0,0,0,38,0,0,38
"RIVETT",0,0,3,0,0,0,3
"SCULLIN",0,2,0,0,0,0,2
"SPENCE",0,0,0,1,0,0,1
"STROMLO (RURAL DIST.)",0,1,0,20,0,0,21
"TAYLOR",0,3,0,2,0,0,5
"TENNENT (RURAL DIST.)",0,0,0,15,0,0,15
"THARWA",0,0,0,3,0,0,3
"THEODORE",0,1,0,0,0,0,1
"THROSBY",0,0,2,0,0,0,2
"TORRENS",0,0,1,0,0,0,1
"TUGGERANONG (RURAL DIST.)",0,1,0,3,0,0,4
"TURNER",0,0,0,10,0,0,10
"WANNIASSA",0,4,0,0,0,0,4
"WARAMANGA",0,0,0,1,0,0,1
"WATSON",0,3,0,0,0,0,3
"WESTON",0,0,3,2,0,0,5
"WESTON CREEK (RURAL DIST.)",0,0,0,3,0,0,3
"WHITLAM",0,0,0,4,0,0,4
"WODEN VALLEY (RURAL DIST.)",0,0,0,3,0,0,3
"WRIGHT",0,12,0,0,0,0,12
"YARRALUMLA",12,13,7,44,0,0,76
